product_id,created_at,updated_at,brand,description,image_url,is_active,mall_name,max_price,min_price,name,naver_product_id,product_category,stock_quantity,sub_category
1,2026-05-29 05:30:36.010948,2026-05-29 05:30:36.010948,"",제조사: 오가닉케이코스메틱 카테고리: 스킨케어,https://shopping-phinf.pstatic.net/main_5886766/58867662394.20260525114957.jpg,1,네이버,15800,15800,"더마올로지 8중 히알루론산 모이스처 수분크림 1L, 1개",58867662394,화장품/미용,100,스킨케어
2,2026-05-29 05:30:36.075506,2026-05-29 05:30:36.075506,펠로디,브랜드: 펠로디 제조사: 에이티바이오제약 카테고리: 스킨케어,https://shopping-phinf.pstatic.net/main_6012733/60127338094.20260521151854.jpg,1,네이버,27000,27000,"펠로디 리포좀 스노우 화이트닝 크림 300ml, 1개",60127338094,화장품/미용,100,스킨케어
3,2026-05-29 05:30:36.082077,2026-05-29 05:30:36.082077,라로슈포제,브랜드: 라로슈포제 제조사: 라로슈포제 카테고리: 스킨케어,https://shopping-phinf.pstatic.net/main_5192923/51929231339.20241213210100.jpg,1,네이버,21510,21510,"라로슈포제 시카플라스트 밤 B5+ 100ml, 1개",51929231339,화장품/미용,100,스킨케어
4,2026-05-29 05:30:36.087932,2026-05-29 05:30:36.087932,위자드조선,브랜드: 위자드조선 카테고리: 스킨케어,https://shopping-phinf.pstatic.net/main_8845899/88458992634.4.jpg,1,위자드조선,25900,25900,누룩밤 수면팩 트라넥산삼 크림 트라넥삼산 약국 기미 크림 위자드조선,88458992634,화장품/미용,100,스킨케어
5,2026-05-29 05:30:36.093936,2026-05-29 05:30:36.093936,펠로디,브랜드: 펠로디 카테고리: 스킨케어,https://shopping-phinf.pstatic.net/main_5907475/59074756935.20260227093125.jpg,1,네이버,29000,29000,"펠로디 리포좀 글루타치온 레티놀 크림 300ml, 1개",59074756935,화장품/미용,100,스킨케어
6,2026-05-29 05:30:36.100522,2026-05-29 05:30:36.100522,"",제조사: 바이오시엠 카테고리: 스킨케어,https://shopping-phinf.pstatic.net/main_5698734/56987342843.20260521094616.jpg,1,네이버,29000,29000,"스무아디 그린캐비어 모이스쳐 락인 크림 100ml, 1개",56987342843,화장품/미용,100,스킨케어
7,2026-05-29 05:30:36.106271,2026-05-29 05:30:36.106271,코비엔,브랜드: 코비엔 카테고리: 스킨케어,https://shopping-phinf.pstatic.net/main_8243936/82439360120.28.jpg,1,코비엔,33000,33000,유카자생크림 재생 진정 EGF 수분 크림 유황 시카 세라마이드 피부과 레이저 아줄렌,82439360120,화장품/미용,100,스킨케어
8,2026-05-29 05:30:36.112,2026-05-29 05:30:36.112,신의눈물,브랜드: 신의눈물 제조사: KB코스메틱 카테고리: 스킨케어,https://shopping-phinf.pstatic.net/main_8222833/82228336103.15.jpg,1,키스마이스킨,49000,49000,신의눈물 기미크림 미백 착색 낮가능레티놀 주름개선탄력 색소침착 잡티,82228336103,화장품/미용,100,스킨케어
9,2026-05-29 05:30:36.118244,2026-05-29 05:30:36.118244,태극제약,브랜드: 태극제약 카테고리: 스킨케어,https://shopping-phinf.pstatic.net/main_8600612/86006121831.34.jpg,1,콩심샵,24850,24850,[홈쇼핑 방송상품] 태극제약 도미나스 트라넥삼산 도미나 기미크림 4X 50g,86006121831,화장품/미용,100,스킨케어
10,2026-05-29 05:30:36.123595,2026-05-29 05:30:36.123595,메디필,브랜드: 메디필 제조사: 스킨이데아 카테고리: 스킨케어,https://shopping-phinf.pstatic.net/main_8944066/89440667434.7.jpg,1,비타스킨,14500,14500,메디필 멜라논 고함량 73%(+기미 케어)멜라노사 미백 제거 연고 주근깨 크림,89440667434,화장품/미용,100,스킨케어
11,2026-05-29 05:30:36.129606,2026-05-29 05:30:36.129606,마미케어,브랜드: 마미케어 제조사: 비앤비코리아 카테고리: 스킨케어,https://shopping-phinf.pstatic.net/main_8882138/88821382226.7.jpg,1,마미케어mommycare,26900,26900,"마미케어 약국 들깨 기미 잡티 주근깨 미백 트라넥삼산 크림 TX 50g, 2개",88821382226,화장품/미용,100,스킨케어
12,2026-05-29 05:30:36.135774,2026-05-29 05:30:36.135774,코스워커,브랜드: 코스워커 제조사: 동일제약 카테고리: 스킨케어,https://shopping-phinf.pstatic.net/main_5968748/59687489221.20260416103112.jpg,1,네이버,23900,23900,"코스워커 하이드레이팅 크림 50ml, 1개",59687489221,화장품/미용,100,스킨케어
13,2026-05-29 05:30:36.141003,2026-05-29 05:30:36.141003,레피넬,브랜드: 레피넬 카테고리: 스킨케어,https://shopping-phinf.pstatic.net/main_5899700/58997003859.20260222003350.jpg,1,네이버,26000,26000,"레피넬 EGF 리페어 크림 40ml, 1개",58997003859,화장품/미용,100,스킨케어
14,2026-05-29 05:30:36.147297,2026-05-29 05:30:36.147297,에스트라,브랜드: 에스트라 제조사: 코스비전 카테고리: 스킨케어,https://shopping-phinf.pstatic.net/main_5500458/55004584806.20250528161010.jpg,1,네이버,19920,19920,"에스트라 아토베리어365 크림 80ml(신형), 1개",55004584806,화장품/미용,100,스킨케어
